Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Contributing to health system resilience during pandemics via purchasing and supply strategies: an exploratory system dynamics approach.,"Gotz, Paula; Auping, Willem L; Hinrichs-Krapels, Saba","BACKGROUND: Health systems worldwide struggled to obtain sufficient personal protective equipment (PPE) and ventilators during the COVID-19 pandemic due to global supply chain disruptions. Our study's aim was to create a proof-of-concept model that would simulate the effects of supply strategies under various scenarios, to ultimately help decision-makers decide on alternative supply strategies for future similar health system related crises., METHODS: We developed a system dynamics model that linked a disease transmission model structure (susceptible, exposed, infectious, recovered (SEIR)) with a model for the availability of critical supplies in hospitals; thereby connecting care demand (patients' critical care in hospitals), with care supply (available critical equipment and supplies). To inform the model structure, we used data on critical decisions and events taking place surrounding purchase, supply, and availability of PPE and ventilators during the first phase of the COVID-19 pandemic within the English national health system. We used exploratory modelling and analysis to assess the effects of uncertainties on different supply strategies in the English health system under different scenarios. Strategies analysed were: (i) purchasing from the world market or (ii) through direct tender, (iii) stockpiling, (iv) domestic production, (v) supporting innovative supply strategies, or (vi) loaning ventilators from the private sector., RESULTS: We found through our exploratory analysis that a long-lasting shortage in PPE and ventilators is likely to be apparent in various scenarios. When considering the worst-case scenario, our proof-of-concept model shows that purchasing PPE and ventilators from the world market or through direct tender have the greatest influence on reducing supply shortages, compared to producing domestically or through supporting innovative supply strategies. However, these supply strategies are affected most by delays in their shipment time or set-up., CONCLUSION: We demonstrated that using a system dynamics and exploratory modelling approach can be helpful in identifying the purchasing and supply chain strategies that contribute to the preparedness and responsiveness of health systems during crises. Our results suggest that to improve health systems' resilience during pandemics or similar resource-constrained situations, purchasing and supply chain decision-makers can develop crisis frameworks that propose a plan of action and consequently accelerate and improve procurement processes and other governance processes during health-related crises; implement diverse supplier frameworks; and (re)consider stockpiling. This proof-of-concept model demonstrates the importance of including critical supply chain strategies as part of the preparedness and response activities to contribute to health system resilience. Copyright © 2024. The Author(s).",2024,,BMC health services research,24,1,130,,10.1186/s12913-023-10487-7,,#452,Gotz 2024,Exclusion reason: No knowledge user participation; ,""
Optimizing malaria vector control in the Greater Mekong Subregion: a systematic review and mathematical modelling study to identify desirable intervention characteristics.,"Wang, Yuqian; Chitnis, Nakul; Fairbanks, Emma L","BACKGROUND: In the Greater Mekong Subregion (GMS), new vector-control tools are needed to target mosquitoes that bite outside during the daytime and night-time to advance malaria elimination., METHODS: We conducted systematic literature searches to generate a bionomic dataset of the main malaria vectors in the GMS, including human blood index (HBI), parity proportion, sac proportion (proportion with uncontracted ovary sacs, indicating the amount of time until they returned to host seeking after oviposition) and the resting period duration. We then performed global sensitivity analyses to assess the influence of bionomics and intervention characteristics on vectorial capacity., RESULTS: Our review showed that Anopheles minimus, An. sinensis, An. maculatus and An. sundaicus display opportunistic blood-feeding behaviour, while An. dirus is more anthropophilic. Multivariate regression analysis indicated that environmental, climatic and sampling factors influence the proportion of parous mosquitoes, and resting duration varies seasonally. Sensitivity analysis highlighted HBI and parity proportion as the most influential bionomic parameters, followed by resting duration. Killing before feeding is always a desirable characteristic across all settings in the GMS. Disarming is also a desirable characteristic in settings with a low HBI. Repelling is only an effective strategy in settings with a low HBI and low parity proportion. Killing after feeding is only a desirable characteristic if the HBI and parity proportions in the setting are high., CONCLUSIONS: Although in general adopting tools that kill before feeding would have the largest community-level effect on reducing outdoor transmission, other modes of action can be effective. Current tools in development which target outdoor biting mosquitoes should be implemented in different settings dependent on their characteristics. Copyright © 2024. The Author(s).",2024,,Parasites & vectors,17,1,162,,10.1186/s13071-024-06234-4,,#455,Wang 2024,Exclusion reason: Review; ,""
Effects of Mitigation and Control Policies in Realistic Epidemic Models Accounting for Household Transmission Dynamics.,"Alarid-Escudero, Fernando; Andrews, Jason R; Goldhaber-Fiebert, Jeremy D","BACKGROUND: Compartmental infectious disease (ID) models are often used to evaluate nonpharmaceutical interventions (NPIs) and vaccines. Such models rarely separate within-household and community transmission, potentially introducing biases in situations in which multiple transmission routes exist. We formulated an approach that incorporates household structure into ID models, extending the work of House and Keeling., DESIGN: We developed a multicompartment susceptible-exposed-infectious-recovered-susceptible-vaccinated (MC-SEIRSV) modeling framework, allowing nonexponentially distributed duration in exposed and infectious compartments, that tracks within-household and community transmission. We simulated epidemics that varied by community and household transmission rates, waning immunity rate, household size (3 or 5 members), and numbers of exposed and infectious compartments (1-3 each). We calibrated otherwise identical models without household structure to the early phase of each parameter combination's epidemic curve. We compared each model pair in terms of epidemic forecasts and predicted NPI and vaccine impacts on the timing and magnitude of the epidemic peak and its total size. Meta-analytic regressions characterized the relationship between household structure inclusion and the size and direction of biases., RESULTS: Otherwise similar models with and without household structure produced equivalent early epidemic curves. However, forecasts from models without household structure were biased. Without intervention, they were upward biased on peak size and total epidemic size, with biases also depending on the number of exposed and infectious compartments. Model-estimated NPI effects of a 60% reduction in community contacts on peak time and size were systematically overestimated without household structure. Biases were smaller with a 20% reduction NPI. Because vaccination affected both community and household transmission, their biases were smaller., CONCLUSIONS: ID models without household structure can produce biased outcomes in settings in which within-household and community transmission differ., HIGHLIGHTS: Infectious disease models rarely separate household transmission from community transmission. The pace of household transmission may differ from community transmission, depends on household size, and can accelerate epidemic growth.Many infectious disease models assume exponential duration distributions for infected states. However, the duration of most infections is not exponentially distributed, and distributional choice alters modeled epidemic dynamics and intervention effectiveness. We propose a mathematical framework for household and community transmission that allows for nonexponential duration times and a suite of interventions and quantified the effect of accounting for household transmission by varying household size and duration distributions of infected states on modeled epidemic dynamics.Failure to include household structure induces biases in the modeled overall course of an epidemic and the effects of interventions delivered differentially in community settings. Epidemic dynamics are faster and more intense in populations with larger household sizes and for diseases with nonexponentially distributed infectious durations. Modelers should consider explicitly incorporating household structure to quantify the effects of non-pharmaceutical interventions (e.g., shelter-in-place).",2024,,Medical decision making : an international journal of the Society for Medical Decision Making,44,1,5-17,,10.1177/0272989X231205565,,#456,Alarid-Escudero 2024,Exclusion reason: No specific infectious disease; ,""
A behaviour and disease transmission model: incorporating the Health Belief Model for human behaviour into a simple transmission model.,"Ryan, Matthew; Brindal, Emily; Roberts, Mick; Hickson, Roslyn I","The health and economic impacts of infectious diseases such as COVID-19 affect all levels of a community from the individual to the governing bodies. However, the spread of an infectious disease is intricately linked to the behaviour of the people within a community since crowd behaviour affects individual human behaviour, while human behaviour affects infection spread, and infection spread affects human behaviour. Capturing these feedback loops of behaviour and infection is a well-known challenge in infectious disease modelling. Here, we investigate the interface of behavioural science theory and infectious disease modelling to explore behaviour and disease (BaD) transmission models. Specifically, we incorporate a visible protective behaviour into the susceptible-infectious-recovered-susceptible (SIRS) transmission model using the socio-psychological Health Belief Model to motivate behavioural uptake and abandonment. We characterize the mathematical thresholds for BaD emergence in the BaD SIRS model and the feasible steady states. We also explore, under different infectious disease scenarios, the effects of a fully protective behaviour on long-term disease prevalence in a community, and describe how BaD modelling can investigate non-pharmaceutical interventions that target-specific components of the Health Belief Model. This transdisciplinary BaD modelling approach may reduce the health and economic impacts of future epidemics.",2024,,"Journal of the Royal Society, Interface",21,215,20240038,,10.1098/rsif.2024.0038,,#459,Ryan 2024,Exclusion reason: No knowledge user participation; ,""
Spatial Interaction Analysis of Infectious Disease Import and Export between Regions.,"Lyu, Mingdong; Liu, Kuofu; Hall, Randolph W","Human travel plays a crucial role in the spread of infectious disease between regions. Travel of infected individuals from one region to another can transport a virus to places that were previously unaffected or may accelerate the spread of disease in places where the disease is not yet well established. We develop and apply models and metrics to analyze the role of inter-regional travel relative to the spread of disease, drawing from data on COVID-19 in the United States. To better understand how transportation affects disease transmission, we established a multi-regional time-varying compartmental disease model with spatial interaction. The compartmental model was integrated with statistical estimates of travel between regions. From the integrated model, we derived a transmission import index to assess the risk of COVID-19 transmission between states. Based on the index, we determined states with high risk for disease spreading to other states at the scale of months, and we analyzed how the index changed over time during 2020. Our model provides a tool for policymakers to evaluate the influence of travel between regions on disease transmission in support of strategies for epidemic control.",2024,,International journal of environmental research and public health,21,5,,,10.3390/ijerph21050643,,#463,Lyu 2024,Exclusion reason: No knowledge user participation; ,""
The influence of gender and temephos exposure on community participation in dengue prevention: a compartmental mathematical model.,"Alvarado-Castro, Victor Manuel; Vargas-De-Leon, Cruz; Paredes-Solis, Sergio; Li-Martin, Alian; Nava-Aguilera, Elizabeth; Morales-Perez, Arcadio; Legorreta-Soberanis, Jose; Sanchez-Gervacio, Belen Madeline; Cockcroft, Anne; Andersson, Neil","BACKGROUND: The use of temephos, the most common intervention for the chemical control of Aedes aegypti over the last half century, has disappointing results in control of the infection. The footprint of Aedes and the diseases it carries have spread relentlessly despite massive volumes of temephos. Recent advances in community participation show this might be more effective and sustainable for the control of the dengue vector., METHODS: Using data from the Camino Verde cluster randomized controlled trial, a compartmental mathematical model examines the dynamics of dengue infection with different levels of community participation, taking account of gender of respondent and exposure to temephos., RESULTS: Simulation of dengue endemicity showed community participation affected the basic reproductive number of infected people. The greatest short-term effect, in terms of people infected with the virus, was the combination of temephos intervention and community participation. There was no evidence of a protective effect of temephos 220 days after the onset of the spread of dengue., CONCLUSIONS: Male responses about community participation did not significantly affect modelled numbers of infected people and infectious mosquitoes. Our model suggests that, in the long term, community participation alone may have the best results. Adding temephos to community participation does not improve the effect of community participation alone. Copyright © 2024. The Author(s).",2024,,BMC infectious diseases,24,1,463,,10.1186/s12879-024-09341-w,,#466,Alvarado-Castro 2024,Exclusion reason: No knowledge user participation; ,""
Rapid initiation of antiretroviral therapy in Turkey: a modeling study.,"Yaylali, Emine; Erdogan, Zikriye Melisa; Calisir, Fethi; Pullukcu, Husnu; Yildirim, Figen; Inan, Asuman; Aydin, Ozlem Altuntas; Tekin, Suda; Sonmezer, Meliha Cagla; Sahin, Toros; Ozcagli, Tahsin Gokcem; Ozelgun, Berna","Background: To effectively control the HIV epidemic and meet global targets, policymakers recommend the rapid initiation of antiretroviral therapy (ART). Our study aims to investigate the effect of rapid ART programs on individuals diagnosed with HIV, considering varying coverage and initiation days after diagnosis, and compare it to standard-of-care ART treatment in Turkey., Methods: We used a dynamic compartmental model to simulate the dynamics of HIV infection in Turkey. Rapid treatment, defined as initiation of ART within 7 days of diagnosis, was contrasted with standard-of-care treatment, which starts within 30 days of diagnosis. This study considered three coverage levels (10%, 50%, and 90%) and two rapid periods (7 and 14 days after diagnosis), comparing them to standard-of-care treatment in evaluating the number of HIV infections between 2020 and 2030., Results: Annual HIV incidence and prevalence for a 10-year period were obtained from model projections. In the absence of a rapid ART program, the model projected approximately 444,000 new HIV cases while the number of cases were reduced to 345,000 (22% reduction) with 90% of diagnosed cases included in the rapid ART program. Similarly, 10% and 50% rapid ART coverage has resulted in 3% and 13% reduction in HIV prevalence over a 10-year period., Conclusion: Rapid ART demonstrates the potential to mitigate the increasing HIV incidence in Turkey by reducing the number of infections. The benefit of the rapid ART program could be substantial when the coverage of the program reaches above a certain percentage of diagnosed population. Copyright © 2024 Yaylali, Erdogan, Calisir, Pullukcu, Yildirim, Inan, Aydin, Tekin, Sonmezer, Sahin, Ozcagli and Ozelgun.",2024,,Frontiers in public health,12,101616579,1224449,,10.3389/fpubh.2024.1224449,,#468,Yaylali 2024,Exclusion reason: No knowledge user participation; ,""
Sex-structured disease transmission model and control mechanisms for visceral leishmaniasis (VL).,"Awoke, Temesgen Debas; Kassa, Semu Mitiku; Morupisi, Kgomotso Suzan; Tsidu, Gizaw Mengistu","BACKGROUND: Leishmaniasis are a group of diseases caused by more than 20 species of the protozoan that are transmitted through the bite of female sand fly. The disease is endemic to 98 countries of the world. It affects most commonly the poorest of the poor and mainly males. Several research has been conducted to propose disease control strategies. Effective medical care, vector control, environmental hygiene, and personal protection are the mainstays of the current preventative and control methods. The mathematical models for the transmission dynamics of the disease studied so far did not consider the sex-biased burden of the disease into consideration., METHODOLOGY: Unlike the previous VL works, this study introduces a new deterministic sex-structured model for understanding the transmission dynamics of visceral leishmaniasis. Basic properties of the model including basic reproduction number ([Formula: see text]), and conditions for the existence of backward bifurcation of the model are explored. Baseline parameter values were estimated after the model was fitted to Ethiopia's VL data. Sensitivity analysis of the model was performed to identify the parameters that significantly impact the disease threshold. Numerical simulations were performed using baseline parameter values, and scenario analysis is performed by changing some of these parameters as appropriate., CONCLUSION: The analysis of the model shows that there is a possibility for a backward bifurcation for [Formula: see text], which means bringing [Formula: see text] to less than unity may not be enough to eradicate the disease. Our numerical result shows that the implementation of disease-preventive strategies, as well as effectively treating the affected ones can significantly reduce the disease prevalence if applied for more proportion of the male population. Furthermore, the implementation of vector management strategies also can considerably reduce the total prevalence of the disease. However, it is demonstrated that putting more effort in treating affected reservoir animals may not have any significant effect on the overall prevalence of the disease as compared to other possible mechanisms. The numerical simulation infers that a maximum of 60% of extra preventative measures targeted to only male population considerably reduces the total prevalence of VL by 80%. It is also possible to decrease the total prevalence of VL by 69.51% when up to 50% additional infected males receive treatment with full efficacy. Moreover, applying a maximum of 15% additional effort to reduce the number of vectors, decreases the total VL prevalence by 57.71%. Therefore, in order to reduce the disease burden of visceral leishmaniasis, public health officials and concerned stakeholders need to give more emphasis to the proportion of male humans in their intervention strategies. Copyright: © 2024 Awoke et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2024,,PloS one,19,4,e0301217,,10.1371/journal.pone.0301217,,#471,Awoke 2024,Exclusion reason: No knowledge user participation; ,""
Ethical frameworks should be applied to computational modelling of infectious disease interventions.,"Zachreson, Cameron; Savulescu, Julian; Shearer, Freya M; Plank, Michael J; Coghlan, Simon; Miller, Joel C; Ainslie, Kylie E C; Geard, Nicholas","This perspective is part of an international effort to improve epidemiological models with the goal of reducing the unintended consequences of infectious disease interventions. The scenarios in which models are applied often involve difficult trade-offs that are well recognised in public health ethics. Unless these trade-offs are explicitly accounted for, models risk overlooking contested ethical choices and values, leading to an increased risk of unintended consequences. We argue that such risks could be reduced if modellers were more aware of ethical frameworks and had the capacity to explicitly account for the relevant values in their models. We propose that public health ethics can provide a conceptual foundation for developing this capacity. After reviewing relevant concepts in public health and clinical ethics, we discuss examples from the COVID-19 pandemic to illustrate the current separation between public health ethics and infectious disease modelling. We conclude by describing practical steps to build the capacity for ethically aware modelling. Developing this capacity constitutes a critical step towards ethical practice in computational modelling of public health interventions, which will require collaboration with experts on public health ethics, decision support, behavioural interventions, and social determinants of health, as well as direct consultation with communities and policy makers. Copyright: © 2024 Zachreson et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2024,,PLoS computational biology,20,3,e1011933,,10.1371/journal.pcbi.1011933,,#473,Zachreson 2024,Exclusion reason: Irrelevant study; ,""
What Influence Could the Acceptance of Visitors Cause on the Epidemic Dynamics of a Reinfectious Disease?: A Mathematical Model.,"Xie, Ying; Ahmad, Ishfaq; Ikpe, ThankGod I S; Sofia, Elza F; Seno, Hiromi","The globalization in business and tourism becomes crucial more and more for the economical sustainability of local communities. In the presence of an epidemic outbreak, there must be such a decision on the policy by the host community as whether to accept visitors or not, the number of acceptable visitors, or the condition for acceptable visitors. Making use of an SIRI type of mathematical model, we consider the influence of visitors on the spread of a reinfectious disease in a community, especially assuming that a certain proportion of accepted visitors are immune. The reinfectivity of disease here means that the immunity gained by either vaccination or recovery is imperfect. With the mathematical results obtained by our analysis on the model for such an epidemic dynamics of resident and visitor populations, we find that the acceptance of visitors could have a significant influence on the disease's endemicity in the community, either suppressive or supportive. Copyright © 2024. The Author(s).",2024,,Acta biotheoretica,72,1,3,,10.1007/s10441-024-09478-w,,#475,Xie 2024,Exclusion reason: No specific infectious disease; ,""
"Optimal adaptive nonpharmaceutical interventions to mitigate the outbreak of respiratory infections following the COVID-19 pandemic: a deep reinforcement learning study in Hong Kong, China.","Yao, Yao; Zhou, Hanchu; Cao, Zhidong; Zeng, Daniel Dajun; Zhang, Qingpeng","BACKGROUND: Long-lasting nonpharmaceutical interventions (NPIs) suppressed the infection of COVID-19 but came at a substantial economic cost and the elevated risk of the outbreak of respiratory infectious diseases (RIDs) following the pandemic. Policymakers need data-driven evidence to guide the relaxation with adaptive NPIs that consider the risk of both COVID-19 and other RIDs outbreaks, as well as the available healthcare resources., METHODS: Combining the COVID-19 data of the sixth wave in Hong Kong between May 31, 2022 and August 28, 2022, 6-year epidemic data of other RIDs (2014-2019), and the healthcare resources data, we constructed compartment models to predict the epidemic curves of RIDs after the COVID-19-targeted NPIs. A deep reinforcement learning (DRL) model was developed to learn the optimal adaptive NPIs strategies to mitigate the outbreak of RIDs after COVID-19-targeted NPIs are lifted with minimal health and economic cost. The performance was validated by simulations of 1000 days starting August 29, 2022. We also extended the model to Beijing context., FINDINGS: Without any NPIs, Hong Kong experienced a major COVID-19 resurgence far exceeding the hospital bed capacity. Simulation results showed that the proposed DRL-based adaptive NPIs successfully suppressed the outbreak of COVID-19 and other RIDs to lower than capacity. DRL carefully controlled the epidemic curve to be close to the full capacity so that herd immunity can be reached in a relatively short period with minimal cost. DRL derived more stringent adaptive NPIs in Beijing., INTERPRETATION: DRL is a feasible method to identify the optimal adaptive NPIs that lead to minimal health and economic cost by facilitating gradual herd immunity of COVID-19 and mitigating the other RIDs outbreaks without overwhelming the hospitals. The insights can be extended to other countries/regions. Copyright © The Author(s) 2023. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved. For permissions, please email: journals.permissions@oup.com.",2023,,Journal of the American Medical Informatics Association : JAMIA,30,9,1543-1551,,10.1093/jamia/ocad116,,#479,Yao 2023,Exclusion reason: No knowledge user participation; ,""
Evaluation of COVID-19 intervention policies in South Korea using the stochastic individual-based model.,"Chae, Min-Kyung; Hwang, Dong-Uk; Nah, Kyeongah; Son, Woo-Sik","The COVID-19 pandemic has swept the globe, and countries have responded with various intervention policies to prevent its spread. In this study, we aim to analyze the effectiveness of intervention policies implemented in South Korea. We use a stochastic individual-based model (IBM) with a synthetic population to simulate the spread of COVID-19. Using statistical data, we make the synthetic population and assign sociodemographic attributes to each individual. Individuals go about their daily lives based on their assigned characteristics, and encountering infectors in their daily lives stochastically determines whether they are infected. We reproduce the transmission of COVID-19 using the IBM simulation from November 2020 to February 2021 when three phases of increasingly stringent intervention policies were implemented, and then assess their effectiveness. Additionally, we predict how the spread of infection would have been different if these policies had been implemented in January 2022. This study offers valuable insights into the effectiveness of intervention policies in South Korea, which can assist policymakers and public health officials in their decision-making process. Copyright © 2023. The Author(s).",2023,,Scientific reports,13,1,18945,,10.1038/s41598-023-46277-8,,#484,Chae 2023,Exclusion reason: No knowledge user participation; ,""
Identifying models of care to improve outcomes for older people with urgent care needs: a mixed methods approach to develop a system dynamics model.,"Conroy, Simon; Brailsford, Sally; Burton, Christopher; England, Tracey; Lalseta, Jagruti; Martin, Graham; Mason, Suzanne; Maynou-Pujolras, Laia; Phelps, Kay; Preston, Louise; Regen, Emma; Riley, Peter; Street, Andrew; van Oppen, James","Background: We aimed to understand urgent and emergency care pathways for older people and develop a decision support tool using a mixed methods study design., Objective(s), study design, settings and participants: Work package 1 identified best practice through a review of reviews, patient, carer and professional interviews. Work package 2 involved qualitative case studies of selected urgent and emergency care pathways in the Yorkshire and Humber region. Work package 3 analysed linked databases describing urgent and emergency care pathways identifying patient, provider and pathway factors that explain differences in outcomes and costs. Work package 4 developed a system dynamics tool to compare emergency interventions., Results: A total of 18 reviews summarising 128 primary studies found that integrated social and medical care, screening and assessment, follow-up and monitoring of service outcomes were important. Forty patient/carer participants described emergency department attendances; most reported a reluctance to attend. Participants emphasised the importance of being treated with dignity, timely and accurate information provision and involvement in decision-making. Receiving care in a calm environment with attention to personal comfort and basic physical needs were key. Patient goals included diagnosis and resolution, well-planned discharge home and retaining physical function. Participants perceived many of these goals of care were not attained. A total of 21 professional participants were interviewed and 23 participated in focus groups, largely confirming the review evidence. Implementation challenges identified included the urgent and emergency care environment, organisational approaches to service development, staff skills and resources. Work package 2 involved 45 interviews and 30 hours of observation in four contrasting emergency departments. Key themes relating to implementation included: intervention-related staff: frailty mindset and behaviours resources: workforce, space, and physical environment operational influences: referral criteria, frailty assessment, operating hours, transport. context-related links with community, social and primary care organisation and management support COVID-19 pandemic. approaches to implementation service/quality improvement networks engaging staff and building relationships education about frailty evidence. The linked databases in work package 3 comprised 359,945 older people and 1,035,045 observations. The most powerful predictors of four-hour wait and transfer to hospital were age, previous attendance, out-of-hours attendance and call handler designation of urgency. Drawing upon the previous work packages and working closely with a wide range of patient and professional stakeholders, we developed an system dynamics tool that modelled five evidence-based urgent and emergency care interventions and their impact on the whole system in terms of reducing admissions, readmissions, and hospital related mortality., Limitations: Across the reviews there was incomplete reporting of interventions. People living with severe frailty and from ethnic minorities were under-represented in the patient/carer interviews. The linked databases did not include patient reported outcomes. The system dynamics model was limited to evidence-based interventions, which could not be modelled conjointly., Conclusions: We have reaffirmed the poor outcomes frequently experienced by many older people living with urgent care needs. We have identified interventions that could improve patient and service outcomes, as well as implementation tools and strategies to help including clinicians, service managers and commissioners improve emergency care for older people., Future work: Future work will focus on refining the system dynamics model, specifically including patient-reported outcome measures and pre-hospital services for older people living with frailty who have urgent care needs., Study registrations: This study is registered as PROSPERO CRD42018111461. WP 1.2: University of Leicester ethics: 17525-spc3-ls:healthsciences, WP 2: IRAS 262143, CAG 19/CAG/0194, WP 3: IRAS 215818, REC 17/YH/0024, CAG 17/CAG/0024., Funding: This project was funded by the National Institute for Health and Care Research (NIHR) Health and Social Care Delivery Research programme [project number 17/05/96 (Emergency Care for Older People)] and will be published in full in Health and Social Care Delivery Research; Vol. 11, No. 14. See the NIHR Journals Library website for further project information.",2023,,Health and social care delivery research,11,14,1-183,,10.3310/NLCT5104,,#485,Conroy 2023,Exclusion reason: Irrelevant study; ,""
Integrated Care Models for Long Coronavirus Disease.,"Barshikar, Surendra; Laguerre, Martin; Gordon, Patricia; Lopez, Marielisa","Professional or governmental agencies and organizations have developed guidelines to define the problem and evaluate and manage patients with Post-Acute Sequelae of SARS CoV-2 (PASC). Multidisciplinary models largely exist in academic centers and larger cities; however, most care for PASC patients is provided by the primary care providers. The American Academy of Physical Medicine and Rehabilitation has been in the forefront in releasing consensus statements as a part of the long COVID collaborative. Copyright © 2023 Elsevier Inc. All rights reserved.",2023,,Physical medicine and rehabilitation clinics of North America,34,3,689-700,,10.1016/j.pmr.2023.03.007,,#492,Barshikar 2023,Exclusion reason: Irrelevant study; ,""
Modeling the impact of early interventions on the transmission dynamics of coronavirus infection.,"Bornaa, Christopher Saaha; Seidu, Baba; Seini, Yakubu Ibrahim","A deterministic model is proposed to describe the transmission dynamics of coronavirus infection with early interventions. Epidemiological studies have employed modeling to unravel knowledge that transformed the lives of families, communities, nations and the entire globe. The study established the stability of both disease free and endemic equilibria. Stability occurs when the reproduction number, R0, is less than unity for both disease free and endemic equilibrium points. The global stability of the disease-free equilibrium point of the model is established whenever the basic reproduction number R0 is less than or equal to unity. The reproduction number is also shown to be directly related to the transmission probability (beta), rate at which latently infected individuals join the infected class (delta) and rate of recruitment (LAMBDA). It is inversely related to natural death rate (mu), rate of early treatment (tau 1), rate of hospitalization of infected individuals (theta) and Covid-induced death rate (sigma). The analytical results established are confirmed by numerical simulation of the model. Copyright: © 2021 Bornaa CS et al.",2021,,F1000Research,10,101594320,518,,10.12688/f1000research.54268.1,,#498,Bornaa 2021,Exclusion reason: No knowledge user participation; ,""
A hybrid Neural Network-SEIR model for forecasting intensive care occupancy in Switzerland during COVID-19 epidemics.,"Delli Compagni, Riccardo; Cheng, Zhao; Russo, Stefania; Van Boeckel, Thomas P","Anticipating intensive care unit (ICU) occupancy is critical in supporting decision makers to impose (or relax) measures that mitigate COVID-19 transmission. Mechanistic approaches such as Susceptible-Infected-Recovered (SIR) models have traditionally been used to achieve this objective. However, formulating such models is challenged by the necessity to formulate equations for plausible causal mechanisms between the intensity of COVID-19 transmission and external epidemic drivers such as temperature, and the stringency of non-pharmaceutical interventions. Here, we combined a neural network model (NN) with a Susceptible-Exposed-Infected-Recovered model (SEIR) in a hybrid model and attempted to increase the prediction accuracy of existing models used to forecast ICU occupancy. Between 1st of October, 2020 - 1st of July, 2021, the hybrid model improved performances of the SEIR model at different geographical levels. At a national level, the hybrid model improved, prediction accuracy (i.e., mean absolute error) by 74%. At the cantonal and hospital levels, the reduction on the forecast's mean absolute error were 46% and 50%, respectively. Our findings illustrate those predictions from hybrid model can be used to anticipate occupancy in ICU, and support the decision-making for lifesaving actions such as the transfer of patients and dispatching of medical personnel and ventilators.",2022,,PloS one,17,3,e0263789,,10.1371/journal.pone.0263789,,#505,DelliCompagni 2022,Exclusion reason: Not an infectious disease; ,""
VA Big Data Science: A Model for Improved National Pandemic Response Present and Future.,"Young-Xu, Yinong; Davey, Victoria; Marconi, Vincent C; Cunningham, Francesca E","Background: The US Department of Veterans Affairs (VA) enterprise approach to research (VA Research) has built a data-sharing framework available to all research teams within VA. Combined with robust analytic systems and tools available for investigators, VA Research has produced actionable results during the COVID-19 pandemic. Big data science techniques applied to VA's health care data demonstrate that medical research can be performed quickly and judiciously during nationwide health care emergencies., Observations: We envision a common framework of data collection, management, and surveillance implemented in partnership with other health care agencies that would capture even broader, actionable, and timely observational data on populations, while providing opportunities for enhanced collaborative research across agencies. This model should be continued and expanded through the current COVID-19 and future pandemics., Conclusions: Extending the achievements of VA Research in the COVID-19 pandemic to date, we advocate national goals of open science by working toward a synergistic national framework of anonymized, synchronized, shared health data that would provide researchers with potent tools to combat future public health crises. Copyright © 2023 Frontline Medical Communications Inc., Parsippany, NJ, USA.",2023,,"Federal practitioner : for the health care professionals of the VA, DoD, and PHS",40,11 Suppl 5,S39-S42,,10.12788/fp.0412,,#514,Young-Xu 2023,Exclusion reason: Irrelevant study; ,""
Modeling and forecasting of COVID-19 using a hybrid dynamic model based on SEIRD with ARIMA corrections.,"Ala'raj, Maher; Majdalawieh, Munir; Nizamuddin, Nishara","The outbreak of novel coronavirus (COVID-19) attracted worldwide attention. It has posed a significant challenge for the global economies, especially the healthcare sector. Even with a robust healthcare system, countries were not prepared for the ramifications of COVID-19. Several statistical, dynamic, and mathematical models of the COVID-19 outbreak including the SEIR model have been developed to analyze the infection its transmission dynamics. The objective of this research is to use public data to study the properties associated with the COVID-19 pandemic to develop a dynamic hybrid model based on SEIRD and ascertainment rate with automatically selected parameters. The proposed model consists of two parts: the modified SEIRD dynamic model and ARIMA models. We fit SEIRD model parameters against historical values of infected, recovered and deceased population divided by ascertainment rate, which, in turn, is also a parameter of the model. Residuals of the first model for infected, recovered, and deceased populations are then corrected using ARIMA models. The model can analyze the input data in real-time and provide long- and short-term forecasts with confidence intervals. The model was tested and validated on the US COVID statistics dataset from the COVID Tracking Project. For validation, we use unseen recent statistical data. We use five common measures to estimate model prediction ability: MAE, MSE, MLSE, Normalized MAE, and Normalized MSE. We proved a great model ability to make accurate predictions of infected, recovered, and deceased patients. The output of the model can be used by the government, private sectors, and policymakers to reduce health and economic risks significantly improved consumer credit scoring. Copyright © 2020 The Authors.",2021,,Infectious Disease Modelling,6,101692406,98-111,,10.1016/j.idm.2020.11.007,,#517,Ala'raj 2021,Exclusion reason: No knowledge user participation; ,""
